序列名称	序列长度	平均深度	是否成环	基因组/质粒	质粒分型	物种名称	毒力基因数量	毒力基因	耐药基因数量	耐药基因
contig_1	18127	1233.0	-	chromosome.Proteobacteria	-	Neisseria meningitidis 053442	0	-	0	-
contig_2	16601	1094.0	-	chromosome.unclassified	-	Neisseria meningitidis 053442	0	-	0	-
contig_3	16140	1076.0	-	chromosome.Proteobacteria	-	Neisseria meningitidis 053442	1	pilW	0	-
contig_4	14764	1273.0	-	chromosome.unclassified	-	Neisseria meningitidis 053442	0	-	0	-
contig_5	14726	1086.0	-	chromosome.Proteobacteria	-	Neisseria meningitidis 053442	0	-	0	-
contig_6	12713	1235.0	-	chromosome.Proteobacteria	-	Neisseria meningitidis 053442	0	-	0	-
contig_7	12445	1447.0	-	chromosome.Proteobacteria	-	Neisseria meningitidis 053442	0	-	0	-
contig_8	12298	1198.0	-	unclassified.unclassified	-	Neisseria meningitidis M0579	0	-	0	-
contig_9	11927	1552.0	-	chromosome.unclassified	-	Neisseria meningitidis 053442	1	tufA	0	-
contig_10	11376	1033.0	-	chromosome.unclassified	-	Neisseria meningitidis	0	-	0	-
contig_11	10968	1056.0	-	chromosome.Proteobacteria	-	Neisseria meningitidis 053442	0	-	0	-
contig_12	10781	1351.0	-	chromosome.Proteobacteria	-	Neisseria meningitidis 053442	0	-	0	-
contig_13	9737	950.0	-	plasmid.Proteobacteria	-	Neisseria meningitidis 053442	0	-	0	-
contig_14	9140	1132.0	-	chromosome.Proteobacteria	-	Neisseria meningitidis 053442	0	-	0	-
contig_15	9078	1220.0	-	chromosome.unclassified	-	Neisseria meningitidis 053442	0	-	0	-
contig_16	9021	1094.0	-	unclassified.unclassified	-	Neisseria meningitidis 053442	0	-	0	-
contig_17	8960	1075.0	-	chromosome.unclassified	-	Neisseria meningitidis 053442	0	-	0	-
contig_18	8812	1159.0	-	chromosome.Proteobacteria	-	Neisseria meningitidis 053442	0	-	0	-
contig_19	8727	1721.0	-	plasmid.unclassified	-	Neisseria meningitidis 053442	0	-	0	-
contig_20	8515	907.0	-	chromosome.unclassified	-	Neisseria meningitidis 053442	1	fHbp	0	-
contig_21	8353	689.0	-	unclassified.unclassified	-	Neisseria meningitidis 053442	0	-	0	-
contig_22	8223	1113.0	-	chromosome.unclassified	-	Neisseria meningitidis 053442	0	-	0	-
contig_23	8175	1006.0	-	chromosome.unclassified	-	Neisseria meningitidis 053442	0	-	0	-
contig_24	7939	1664.0	-	chromosome.unclassified	-	Neisseria meningitidis 053442	0	-	0	-
contig_25	7495	1304.0	-	chromosome.unclassified	-	Neisseria meningitidis 053442	0	-	0	-
contig_26	7484	1112.0	-	chromosome.Proteobacteria	-	Neisseria meningitidis 053442	0	-	0	-
contig_27	7429	987.0	-	chromosome.unclassified	-	Neisseria meningitidis 053442	0	-	0	-
contig_28	7424	1189.0	-	chromosome.unclassified	-	Neisseria meningitidis 8013	0	-	0	-
contig_29	7372	365.0	-	chromosome.unclassified	-	Neisseria meningitidis 053442	0	-	0	-
contig_30	7356	1052.0	-	unclassified.unclassified	-	Neisseria meningitidis 053442	0	-	0	-
contig_31	7182	1061.0	-	unclassified.Proteobacteria	-	Neisseria meningitidis 053442	0	-	0	-
contig_32	7173	1135.0	-	chromosome.unclassified	-	Neisseria meningitidis 053442	0	-	0	-
contig_33	7160	1112.0	-	chromosome.unclassified	-	Neisseria meningitidis 053442	0	-	0	-
contig_34	7088	1123.0	-	unclassified.unclassified	-	Neisseria meningitidis 053442	0	-	0	-
contig_35	6993	961.0	-	unclassified.Proteobacteria	-	Neisseria meningitidis 053442	0	-	0	-
contig_36	6973	1196.0	-	chromosome.Proteobacteria	-	Neisseria meningitidis 053442	2	farB,farA	2	farB,farA
contig_37	6899	776.0	-	chromosome.unclassified	-	Neisseria meningitidis FAM18	0	-	0	-
contig_38	6883	1092.0	-	chromosome.Proteobacteria	-	Neisseria meningitidis 053442	0	-	0	-
contig_39	6846	1291.0	-	chromosome.Proteobacteria	-	Neisseria meningitidis 053442	0	-	0	-
contig_40	6675	1151.0	-	chromosome.Proteobacteria	-	Neisseria meningitidis M01-240355	1	recN	0	-
contig_41	6655	1263.0	-	chromosome.Proteobacteria	-	Neisseria meningitidis 053442	0	-	0	-
contig_42	6615	1119.0	-	chromosome.Proteobacteria	-	Neisseria meningitidis 053442	0	-	0	-
contig_43	6583	1284.0	-	chromosome.Proteobacteria	-	Neisseria meningitidis 053442	0	-	0	-
contig_44	6574	1130.0	-	chromosome.unclassified	-	Neisseria meningitidis 053442	0	-	0	-
contig_45	6512	1263.0	-	chromosome.Proteobacteria	-	Neisseria meningitidis 053442	0	-	0	-
contig_46	6469	1041.0	-	chromosome.unclassified	-	Neisseria meningitidis 053442	0	-	0	-
contig_47	6421	1024.0	-	chromosome.Proteobacteria	-	Neisseria meningitidis 053442	0	-	0	-
contig_48	6397	1438.0	-	chromosome.unclassified	-	Neisseria meningitidis alpha14	1	kdtA_waaA	0	-
contig_49	6385	916.0	-	chromosome.unclassified	-	Neisseria meningitidis 053442	0	-	0	-
contig_50	6384	1078.0	-	chromosome.Proteobacteria	-	Neisseria meningitidis 053442	0	-	0	-
contig_51	6357	1165.0	-	chromosome.unclassified	-	Neisseria meningitidis 053442	2	pilD,pilF	0	-
contig_52	6331	948.0	-	chromosome.unclassified	-	Neisseria meningitidis 053442	0	-	0	-
contig_53	6321	1167.0	-	chromosome.Proteobacteria	-	Neisseria meningitidis	0	-	0	-
contig_54	6305	1108.0	-	unclassified.unclassified	-	Neisseria meningitidis	0	-	0	-
contig_55	6279	1271.0	-	chromosome.Proteobacteria	-	Neisseria meningitidis 053442	0	-	0	-
contig_56	6248	829.0	-	chromosome.Proteobacteria	-	Neisseria meningitidis 053442	0	-	0	-
contig_57	6239	1410.0	-	chromosome.Proteobacteria	-	Neisseria meningitidis 053442	0	-	0	-
contig_58	6187	964.0	-	chromosome.unclassified	-	Neisseria meningitidis 053442	0	-	0	-
contig_59	6165	1068.0	-	chromosome.Proteobacteria	-	Neisseria meningitidis 053442	0	-	0	-
contig_60	6155	1126.0	-	chromosome.Proteobacteria	-	Neisseria meningitidis 053442	0	-	0	-
contig_61	6152	1103.0	-	chromosome.unclassified	-	Neisseria meningitidis 053442	1	lpt6	0	-
contig_62	6148	1188.0	-	chromosome.Proteobacteria	-	Neisseria meningitidis 053442	0	-	0	-
contig_63	6121	1245.0	-	unclassified.Proteobacteria	-	Neisseria meningitidis 053442	0	-	0	-
contig_64	6068	916.0	-	unclassified.Proteobacteria	-	Neisseria meningitidis 053442	0	-	0	-
contig_65	6014	1031.0	-	chromosome.unclassified	-	Neisseria meningitidis 053442	0	-	0	-
contig_66	5991	1101.0	-	unclassified.unclassified	-	Neisseria meningitidis 053442	0	-	0	-
contig_67	5962	1007.0	-	chromosome.Proteobacteria	-	Neisseria meningitidis 053442	0	-	0	-
contig_68	5912	924.0	-	chromosome.unclassified	-	Neisseria meningitidis	0	-	0	-
contig_69	5882	1356.0	-	chromosome.Proteobacteria	-	Neisseria meningitidis 053442	0	-	0	-
contig_70	5832	1008.0	-	plasmid.Firmicutes	-	Neisseria meningitidis 053442	0	-	0	-
contig_71	5823	1049.0	-	chromosome.Proteobacteria	-	Neisseria meningitidis 053442	0	-	0	-
contig_72	5801	1013.0	-	unclassified.Proteobacteria	-	Neisseria meningitidis	0	-	0	-
contig_73	5712	916.0	-	chromosome.unclassified	-	Neisseria meningitidis 053442	0	-	0	-
contig_74	5684	585.0	-	chromosome.Proteobacteria	-	Neisseria meningitidis 8013	0	-	0	-
contig_75	5681	2018.0	-	unclassified.unclassified	-	Neisseria meningitidis alpha14	0	-	0	-
contig_76	5670	1390.0	-	unclassified.Proteobacteria	-	Neisseria meningitidis	0	-	0	-
contig_77	5665	1260.0	-	unclassified.Proteobacteria	-	Neisseria meningitidis 053442	3	fbpA,fbpB,fbpC	0	-
contig_78	5652	1563.0	-	unclassified.unclassified	-	Neisseria meningitidis 053442	0	-	0	-
contig_79	5651	1233.0	-	chromosome.Proteobacteria	-	Neisseria meningitidis 053442	0	-	0	-
contig_80	5623	1408.0	-	chromosome.unclassified	-	Neisseria meningitidis 053442	0	-	0	-
contig_81	5578	2621.0	-	chromosome.unclassified	-	Neisseria meningitidis 053442	0	-	0	-
contig_82	5563	952.0	-	plasmid.unclassified	-	Neisseria meningitidis	3	mntC,mntB,mntA	0	-
contig_83	5556	865.0	-	chromosome.unclassified	-	Neisseria meningitidis	0	-	0	-
contig_84	5555	1213.0	-	chromosome.Proteobacteria	-	Neisseria meningitidis 053442	0	-	0	-
contig_85	5471	830.0	-	chromosome.Proteobacteria	-	Neisseria meningitidis 053442	0	-	0	-
contig_86	5469	889.0	-	chromosome.unclassified	-	Neisseria meningitidis	2	lbpB,lbpA	0	-
contig_87	5433	839.0	-	chromosome.unclassified	-	Neisseria meningitidis 053442	0	-	0	-
contig_88	5416	1109.0	-	plasmid.Proteobacteria	-	Neisseria meningitidis 053442	0	-	0	-
contig_89	5341	1770.0	-	chromosome.unclassified	-	Neisseria meningitidis 053442	0	-	0	-
contig_90	5317	984.0	-	chromosome.Proteobacteria	-	Neisseria meningitidis 053442	0	-	0	-
contig_91	5263	1069.0	-	chromosome.Proteobacteria	-	Neisseria meningitidis 053442	0	-	0	-
contig_92	5246	1156.0	-	chromosome.Proteobacteria	-	Neisseria meningitidis 053442	0	-	0	-
contig_93	5211	1073.0	-	chromosome.unclassified	-	Neisseria meningitidis 053442	0	-	0	-
contig_94	5207	1331.0	-	unclassified.Proteobacteria	-	Neisseria meningitidis 053442	0	-	0	-
contig_95	5170	1068.0	-	chromosome.unclassified	-	Neisseria meningitidis 053442	2	tbpA,tbpB	0	-
contig_96	5155	1092.0	-	chromosome.unclassified	-	Neisseria meningitidis 053442	0	-	0	-
contig_97	5139	1208.0	-	chromosome.unclassified	-	Neisseria meningitidis	0	-	0	-
contig_98	5139	1098.0	-	chromosome.unclassified	-	Neisseria meningitidis 053442	0	-	0	-
contig_99	5080	1097.0	-	unclassified.unclassified	-	Neisseria meningitidis 053442	0	-	0	-
contig_100	5061	1140.0	-	chromosome.Proteobacteria	-	Neisseria meningitidis 053442	0	-	0	-
contig_101	5042	1191.0	-	chromosome.unclassified	-	Neisseria meningitidis 053442	0	-	0	-
contig_102	4949	1041.0	-	chromosome.unclassified	-	Neisseria meningitidis 053442	0	-	0	-
contig_103	4901	413.0	-	chromosome.unclassified	-	Neisseria meningitidis 053442	1	fHbp	0	-
contig_104	4838	1073.0	-	chromosome.unclassified	-	Neisseria meningitidis	0	-	0	-
contig_106	4781	1169.0	-	chromosome.unclassified	-	Neisseria meningitidis 053442	0	-	0	-
contig_105	4781	1310.0	-	chromosome.unclassified	-	Neisseria meningitidis 053442	0	-	0	-
contig_107	4773	1186.0	-	chromosome.Proteobacteria	-	Neisseria meningitidis 053442	0	-	0	-
contig_108	4765	1194.0	-	chromosome.Proteobacteria	-	Neisseria meningitidis 053442	0	-	0	-
contig_109	4751	1235.0	-	chromosome.Proteobacteria	-	Neisseria meningitidis 053442	0	-	0	-
contig_110	4629	1042.0	-	chromosome.Proteobacteria	-	Neisseria meningitidis 053442	0	-	0	-
contig_111	4604	1267.0	-	unclassified.Firmicutes	-	Neisseria meningitidis 053442	0	-	0	-
contig_112	4595	1230.0	-	unclassified.unclassified	-	Neisseria meningitidis	0	-	0	-
contig_113	4571	8318.0	-	plasmid.unclassified	-	Neisseria meningitidis 053442	0	-	0	-
contig_114	4564	1150.0	-	chromosome.Proteobacteria	-	Neisseria meningitidis 053442	0	-	0	-
contig_115	4519	1993.0	-	plasmid.Proteobacteria	-	Neisseria meningitidis 053442	0	-	0	-
contig_116	4440	999.0	-	chromosome.Proteobacteria	-	Neisseria meningitidis 053442	0	-	0	-
contig_117	4436	803.0	-	unclassified.unclassified	-	Neisseria meningitidis 053442	0	-	0	-
contig_118	4430	1182.0	-	chromosome.unclassified	-	Neisseria meningitidis 053442	0	-	0	-
contig_119	4428	348.0	-	chromosome.unclassified	-	Neisseria meningitidis 053442	2	lbpA,lbpB	0	-
contig_120	4405	1172.0	-	chromosome.Proteobacteria	-	Neisseria meningitidis 053442	0	-	0	-
contig_121	4398	1130.0	-	unclassified.unclassified	-	Neisseria meningitidis	0	-	0	-
contig_122	4382	1098.0	-	unclassified.Proteobacteria	-	Neisseria meningitidis 053442	0	-	0	-
contig_123	4351	1326.0	-	chromosome.Proteobacteria	-	Neisseria meningitidis 053442	0	-	0	-
contig_124	4323	1290.0	-	unclassified.Proteobacteria	-	Neisseria meningitidis 053442	0	-	0	-
contig_125	4312	1205.0	-	unclassified.unclassified	-	Neisseria meningitidis 053442	0	-	0	-
contig_126	4208	989.0	-	chromosome.Proteobacteria	-	Neisseria meningitidis 053442	0	-	0	-
contig_127	4186	274.0	-	chromosome.Proteobacteria	-	Neisseria meningitidis 053442	0	-	0	-
contig_128	4180	1112.0	-	unclassified.unclassified	-	Neisseria meningitidis	0	-	0	-
contig_129	4170	1137.0	-	chromosome.unclassified	-	Neisseria meningitidis 053442	0	-	0	-
contig_130	4166	939.0	-	plasmid.unclassified	-	Neisseria meningitidis 053442	0	-	0	-
contig_131	4149	529.0	-	unclassified.unclassified	-	Neisseria meningitidis 053442	2	siaD_synD,siaC_synC	0	-
contig_132	4129	1191.0	-	chromosome.Proteobacteria	-	Neisseria meningitidis 053442	0	-	0	-
contig_133	4103	781.0	-	unclassified.unclassified	-	Neisseria meningitidis 053442	0	-	0	-
contig_134	4098	1307.0	-	chromosome.unclassified	-	Neisseria meningitidis 053442	0	-	0	-
contig_135	4086	1449.0	-	chromosome.Proteobacteria	-	Neisseria meningitidis	1	nspA	0	-
contig_136	4080	1210.0	-	chromosome.unclassified	-	Neisseria meningitidis 053442	1	pilT	0	-
contig_137	4058	924.0	-	unclassified.Proteobacteria	-	Neisseria meningitidis 053442	0	-	0	-
contig_138	4056	997.0	-	chromosome.unclassified	-	Neisseria meningitidis 053442	0	-	0	-
contig_139	4033	1126.0	-	unclassified.Proteobacteria	-	Neisseria meningitidis 053442	0	-	0	-
contig_140	4031	648.0	-	unclassified.unclassified	-	Neisseria meningitidis LNP21362	0	-	0	-
contig_141	4020	1232.0	-	unclassified.unclassified	-	Neisseria meningitidis 053442	0	-	0	-
contig_142	4004	1132.0	-	unclassified.unclassified	-	Neisseria meningitidis	0	-	0	-
contig_143	3915	1250.0	-	chromosome.unclassified	-	Neisseria meningitidis	0	-	0	-
contig_144	3903	1021.0	-	unclassified.Proteobacteria	-	Neisseria meningitidis 053442	0	-	0	-
contig_145	3898	1231.0	-	chromosome.unclassified	-	Neisseria meningitidis 053442	0	-	0	-
contig_146	3896	1278.0	-	chromosome.Proteobacteria	-	Neisseria meningitidis 053442	1	opc	0	-
contig_147	3879	1090.0	-	chromosome.unclassified	-	Neisseria meningitidis 053442	0	-	0	-
contig_148	3819	665.0	-	chromosome.Proteobacteria	-	Neisseria meningitidis 053442	0	-	0	-
contig_149	3816	688.0	-	chromosome.Proteobacteria	-	Neisseria meningitidis 053442	0	-	0	-
contig_150	3810	742.0	-	chromosome.Proteobacteria	-	Neisseria meningitidis M0579	0	-	0	-
contig_151	3807	931.0	-	unclassified.Proteobacteria	-	Neisseria meningitidis	0	-	0	-
contig_152	3803	788.0	-	unclassified.unclassified	-	Neisseria meningitidis 053442	0	-	0	-
contig_153	3783	468.0	-	chromosome.unclassified	-	Neisseria meningitidis 053442	0	-	0	-
contig_154	3774	949.0	-	chromosome.unclassified	-	Neisseria meningitidis	0	-	0	-
contig_155	3752	1120.0	-	chromosome.unclassified	-	Neisseria meningitidis	0	-	0	-
contig_156	3690	966.0	-	unclassified.unclassified	-	Neisseria meningitidis	0	-	0	-
contig_157	3678	1247.0	-	unclassified.unclassified	-	Neisseria meningitidis	0	-	0	-
contig_158	3662	1177.0	-	chromosome.Proteobacteria	-	Neisseria meningitidis 053442	0	-	0	-
contig_159	3645	1868.0	-	unclassified.Proteobacteria	-	Neisseria meningitidis M0579	1	pilC	0	-
contig_160	3624	748.0	-	unclassified.Proteobacteria	-	Neisseria meningitidis alpha14	0	-	0	-
contig_161	3594	1238.0	-	unclassified.Proteobacteria	-	Neisseria meningitidis	0	-	0	-
contig_162	3585	821.0	-	chromosome.unclassified	-	Neisseria meningitidis	0	-	0	-
contig_163	3572	30.0	-	plasmid.Firmicutes	-	Neisseria meningitidis	0	-	0	-
contig_164	3569	921.0	-	chromosome.Proteobacteria	-	Neisseria meningitidis	0	-	0	-
contig_165	3567	1129.0	-	plasmid.Proteobacteria	-	Neisseria meningitidis	0	-	0	-
contig_166	3544	936.0	-	chromosome.unclassified	-	Neisseria meningitidis	1	iga	0	-
contig_167	3518	1241.0	-	unclassified.unclassified	-	Neisseria meningitidis 053442	0	-	0	-
contig_168	3488	1071.0	-	chromosome.unclassified	-	Neisseria meningitidis 053442	0	-	0	-
contig_169	3477	1210.0	-	chromosome.unclassified	-	Neisseria meningitidis 053442	1	katA	0	-
contig_170	3470	5706.0	-	chromosome.unclassified	-	Neisseria meningitidis serogroup C	0	-	0	-
contig_171	3451	1184.0	-	unclassified.unclassified	-	Neisseria meningitidis 053442	0	-	0	-
contig_172	3447	880.0	-	chromosome.Proteobacteria	-	Neisseria meningitidis 053442	0	-	0	-
contig_174	3445	1171.0	-	chromosome.unclassified	-	Neisseria meningitidis 053442	0	-	0	-
contig_173	3445	987.0	-	chromosome.Proteobacteria	-	Neisseria meningitidis 053442	0	-	0	-
contig_175	3436	1131.0	-	chromosome.unclassified	-	Neisseria meningitidis 053442	0	-	0	-
contig_176	3430	876.0	-	unclassified.Proteobacteria	-	Neisseria meningitidis 8013	0	-	0	-
contig_177	3417	730.0	-	chromosome.Proteobacteria	-	Neisseria meningitidis	0	-	0	-
contig_178	3413	1476.0	-	chromosome.unclassified	-	Neisseria meningitidis M01-240355	1	pilQ	0	-
contig_179	3413	35.0	-	unclassified.unclassified	-	Neisseria meningitidis	2	hpuA,hpuB	0	-
contig_180	3409	427.0	-	unclassified.unclassified	-	Neisseria meningitidis 053442	3	mntC,mntB,mntA	0	-
contig_181	3408	1248.0	-	chromosome.Proteobacteria	-	Neisseria meningitidis M01-240355	0	-	0	-
contig_182	3395	1087.0	-	chromosome.Proteobacteria	-	Neisseria meningitidis	0	-	0	-
contig_183	3381	950.0	-	chromosome.unclassified	-	Neisseria meningitidis 053442	0	-	0	-
contig_184	3376	1170.0	-	chromosome.unclassified	-	Neisseria meningitidis	0	-	0	-
contig_185	3372	411.0	-	chromosome.Proteobacteria	-	Neisseria meningitidis 053442	0	-	0	-
contig_186	3361	1151.0	-	chromosome.unclassified	-	Neisseria meningitidis	0	-	0	-
contig_187	3354	1087.0	-	chromosome.Proteobacteria	-	Neisseria meningitidis 053442	0	-	0	-
contig_188	3346	429.0	-	unclassified.unclassified	-	Neisseria meningitidis 053442	0	-	0	-
contig_189	3287	451.0	-	chromosome.unclassified	-	Neisseria meningitidis 053442	0	-	0	-
contig_190	3271	1426.0	-	unclassified.unclassified	-	Neisseria meningitidis 053442	0	-	0	-
contig_191	3205	1051.0	-	plasmid.Proteobacteria	-	Neisseria meningitidis 053442	4	pilP,pilO,pilN,pilM	0	-
contig_192	3202	1172.0	-	plasmid.Proteobacteria	-	Neisseria meningitidis 053442	0	-	0	-
contig_193	3197	1024.0	-	unclassified.unclassified	-	Neisseria meningitidis 053442	0	-	0	-
contig_194	3196	1317.0	-	chromosome.unclassified	-	Neisseria meningitidis 053442	0	-	0	-
contig_195	3166	1130.0	-	chromosome.unclassified	-	Neisseria meningitidis	0	-	0	-
contig_196	3134	1141.0	-	chromosome.Proteobacteria	-	Neisseria meningitidis 053442	0	-	0	-
contig_197	3103	982.0	-	chromosome.Bacteroidetes	-	Neisseria meningitidis	0	-	0	-
contig_198	3092	425.0	-	chromosome.unclassified	-	Neisseria meningitidis 053442	0	-	0	-
contig_199	3087	1143.0	-	chromosome.Proteobacteria	-	Neisseria meningitidis	0	-	0	-
contig_200	3061	1256.0	-	unclassified.Proteobacteria	-	Neisseria meningitidis	0	-	0	-
contig_201	3039	1085.0	-	unclassified.unclassified	-	Neisseria meningitidis 053442	0	-	0	-
contig_202	3038	1299.0	-	chromosome.Proteobacteria	-	Neisseria meningitidis	0	-	0	-
contig_203	3031	904.0	-	chromosome.Proteobacteria	-	Neisseria meningitidis 053442	0	-	0	-
contig_204	3025	1342.0	-	chromosome.Proteobacteria	-	Neisseria meningitidis 053442	0	-	0	-
contig_205	3017	1010.0	-	chromosome.unclassified	-	Neisseria meningitidis	0	-	0	-
contig_206	2994	1159.0	-	chromosome.unclassified	-	Neisseria meningitidis 053442	0	-	0	-
contig_207	2983	1081.0	-	chromosome.Proteobacteria	-	Neisseria meningitidis 053442	0	-	0	-
contig_208	2954	1189.0	-	unclassified.unclassified	-	Neisseria meningitidis 053442	0	-	0	-
contig_209	2949	1067.0	-	chromosome.unclassified	-	Neisseria meningitidis 053442	0	-	0	-
contig_210	2947	1280.0	-	unclassified.unclassified	-	Neisseria meningitidis 053442	0	-	0	-
contig_211	2924	1162.0	-	unclassified.unclassified	-	Neisseria meningitidis 053442	0	-	0	-
contig_212	2921	991.0	-	chromosome.unclassified	-	Neisseria meningitidis 053442	0	-	0	-
contig_213	2907	1080.0	-	unclassified.unclassified	-	Neisseria meningitidis	0	-	0	-
contig_214	2903	1051.0	-	chromosome.Proteobacteria	-	Neisseria meningitidis	0	-	0	-
contig_215	2900	1083.0	-	chromosome.unclassified	-	Neisseria meningitidis	0	-	0	-
contig_216	2898	1214.0	-	plasmid.unclassified	-	Neisseria meningitidis 053442	0	-	0	-
contig_217	2891	897.0	-	unclassified.unclassified	-	Neisseria meningitidis	0	-	0	-
contig_218	2887	1007.0	-	unclassified.unclassified	-	Neisseria meningitidis	0	-	0	-
contig_219	2887	872.0	-	unclassified.unclassified	-	Neisseria meningitidis M01-240355	0	-	0	-
contig_220	2881	729.0	-	chromosome.unclassified	-	Neisseria meningitidis 053442	0	-	0	-
contig_221	2867	358.0	-	chromosome.unclassified	-	Neisseria meningitidis 053442	0	-	0	-
